 name          msafips   dism1990    isol1990
 "abilentx"         40   .37414962    .054812
  "akronoh"         80    .6927283   .4388922
 "albanyga"        120   .62265709   .4661379
 "albanyny"        160   .61961997     .26638
 "albuqunm"        200   .33605212   .0305868
 "alexanla"        220   .57063821   .4303855
 "allentpa"        240   .53371261   .0510424
 "altoonpa"        280   .52167381   .0256391
 "amariltx"        320   .61328692    .340486
 "anaheica"        360   .34508616   .0210549
 "anchorak"        380   .33313498   .0435152
 "andersin"        400   .74525435   .3588333
 "anderssc"        405   .41757023   .1982039
 "annarbmi"        440   .49923369   .2049272
 "annistal"        450   .50057456   .3057765
 "ashevinc"        480   .62550264   .3369362
 "athensga"        500   .45612351   .2187507
 "atlantga"        520   .67305991   .5317931
 "atlantnj"        560    .6320751   .4423549
 "augustga"        600   .43914461   .2655343
 "aurorail"        620    .5119155   .0881133
 "austintx"        640   .50655064   .2416532
 "bakersca"        680   .50482783   .1635298
 "baltimmd"        720   .70944221   .5930057
 "batonrla"        760   .64069992    .487642
 "battlemi"        780   .63486133   .3641993
 "beaumotx"        840   .68742401   .5164868
 "beaverpa"        845    .6208468   .3101109
 "bentonmi"        870   .74138777   .5714296
 "bergennj"        875   .71285964   .3760034
 "biloxims"        920   .46157356   .2617529
 "binghany"        960   .51624827   .0355368
 "birminal"       1000   .71900826   .5833221
 "bloomiil"       1040   .38563216   .0369617
 "bloomiin"       1020    .3545886   .0188877
  "boiseid"       1080   .35650541   .0056136
 "bostonma"       1120   .67650931   .4454886
 "bouldeco"       1125   .36774982   .0074625
 "bradenfl"       1140   .69786605   .3058227
 "brazortx"       1145   .46421262   .1236575
 "bremerwa"       1150   .45721432   .0445511
 "bridgect"       1160   .67545925   .3113762
 "bristoct"       1170   .40048591   .0203045
 "brocktma"       1200   .49018487   .0963568
  "bryantx"       1260   .43770846   .1745622
 "buffalny"       1280   .80695862   .6244242
 "burlinnc"       1300   .40077113   .2167651
 "burlinvt"       1305   .38567922   .0127773
 "cantonoh"       1320   .63644133   .2849269
 "cedarria"       1360   .52730584   .0619293
